Alternative,g1,g2,g3,g4,Class
a648,41.58,178.54,0.31,30,Cl2
a649,34.18,433.24,0.46,25,Cl2
a650,51.54,271.71,0.04,12,Cl2
a651,38,17,0,10,Cl2
a652,42.98,742.25,0.03,27,Cl3
a653,40.99,22.83,0.07,17.27,Cl2
a654,31.67,80,0,35,Cl2
a655,44.58,626.02,0.1,60,Cl3
a656,39.31,14.86,2.11,62.56,Cl2
a657,71.41,70.41,0.85,31.31,Cl2
a658,80.9,141.28,2.83,50,Cl2
a659,48.34,368.48,0.5,45,Cl3
a660,103.95,1638.08,2.87,76,Cl3
a661,106.35,402.29,2,70,Cl2
a662,50.76,906.86,0.41,85,Cl3
a663,44.03,1260.06,0.4,98,Cl3
a664,50.64,833.93,0.53,75,Cl3
a665,141.92,293.84,1.4,45,Cl3
a666,79.49,184.1,0.14,70,Cl2
a667,54.76,334.85,0.73,53,Cl2
a668,42.45,166.46,0.2,36,Cl2
a669,45.65,702.98,0.68,55,Cl3
a670,49.94,377.36,0.5,75,Cl3
a671,53.02,544.99,1.04,60,Cl3
a672,39.99,175.33,0.77,35,Cl2
a673,90.42,722.82,0.97,43,Cl2
a674,109.29,662.11,3.42,80,Cl3
a675,40.19,194.99,0.58,50,Cl2
a676,40.81,261.8,0.14,41.03,Cl2
a677,40.02,1390.77,0.56,77,Cl2
a678,81.8,639.38,0.5,50,Cl2
a679,59.49,342.14,0.89,77,Cl2
a680,36.25,513.14,0.13,36,Cl2
a681,40.62,563.36,0.86,63,Cl2
a682,37.89,513.82,0.06,40,Cl2
a683,89.59,534.88,2.28,47,Cl3
a684,74.85,1107.63,2.89,81,Cl3
a685,76.7,1452.39,0.72,84,Cl3
a686,72.99,1277.97,4.14,85,Cl3
a687,75.45,397.53,0.36,75,Cl2
a688,72,1042.77,0.56,30,Cl2
a689,72.9,1060.36,0.32,78,Cl3
a690,67.95,355.13,0.36,64,Cl2
a691,86.24,420.24,0.69,33,Cl3
a692,81.32,811.76,2.68,85,Cl3
a693,72.3,1709.3,1.56,100,Cl3
a694,71.68,885.05,0.09,52,Cl2
a695,54.36,1184.93,0.49,75,Cl2
a696,60.32,1289.41,0.37,84,Cl3
a697,96.1,539.66,0.99,69,Cl4
a698,50.49,476.43,0.04,52,Cl1
a699,75.04,291.62,0.11,31,Cl2
a700,91.49,1817.58,1.33,83,Cl4
a701,83.04,257.79,1.29,75,Cl3
a702,91.14,840.3,0.7,72,Cl3
a703,79.03,775.01,0.2,30,Cl3
a704,79.49,317.83,0.43,50,Cl2
a705,63.25,1051.96,0.82,35,Cl2
a706,55.93,451.55,0.02,65,Cl2
a707,95.03,436.7,1.66,25,Cl2
a708,119.72,477.32,2.9,95,Cl3
a709,45.36,587.14,0.51,86,Cl3
a710,111.16,997.81,3.06,90,Cl3
a711,55.78,324,0.43,68.13,Cl3
a712,86.8,341.02,0.78,95,Cl2
a713,45.72,405.63,0.12,40,Cl2
a714,55.45,906.62,0.58,73,Cl4
a715,66.79,250.4,3.32,80,Cl3
a716,51.06,332.07,0.16,38,Cl2
a717,55.36,491.84,4.05,71,Cl3
a718,41.67,463.72,0.12,55,Cl3
a719,48.14,796.72,0.55,75,Cl4
a720,49.78,322.24,0.22,43,Cl3
a721,32.24,285,0,35,Cl2
a722,19.32,236,0,57,Cl2
a723,24.17,130,0,30,Cl2
a724,19.87,358,0,80,Cl2
a725,36.5,461.03,0,60,Cl3
a726,18.64,216.92,0.03,75,Cl2
a727,25.83,325,0,30,Cl2
a728,90.4,247.44,1.67,55,Cl2
a729,39.92,56.56,0.02,20,Cl2
a730,34.78,503.18,0.02,65,Cl2
a731,57.84,141.65,0.22,30,Cl1
a732,34.21,524.82,1.09,42,Cl2
a733,37.36,100,0.16,35,Cl2
a734,76.6,317.05,2.01,48,Cl2
a735,45.82,260.06,0,10,Cl2
a736,48.22,207.95,0.16,43,Cl3
a737,43.68,244.99,0.04,36,Cl2
a738,34.2,86.65,0.03,31,Cl1
a739,37.79,0,0,18,Cl2
a740,45.5,400.17,0.1,44,Cl3
a741,51.11,89,0,6,Cl2
a742,43.09,868.48,0.49,76,Cl3
a743,73.24,605.06,0.36,69,Cl3
a744,49.78,288.57,0.57,20.52,Cl3
a745,92.24,374.42,0.94,50,Cl2
a746,34.49,266.85,0.03,16,Cl1
a747,41.59,240.96,1.34,40,Cl3
a748,39.16,406.23,0.09,48,Cl2
a749,37.41,54.98,1.77,5,Cl2
a750,73.63,161.72,0.27,45,Cl2
a751,64.69,731.92,0.65,82,Cl2
a752,62.18,364.95,0.73,78,Cl2
a753,71.81,406.32,1.19,67,Cl2
a754,66.66,420.57,1.69,58,Cl2
a755,75.24,336.55,0.24,75,Cl2
a756,88.33,505.71,3.23,45,Cl3
a757,63.06,336.28,1.87,59,Cl2
a758,46.18,286.04,0.12,20,Cl2
a759,52.87,369.01,3.09,87,Cl2
a760,68.7,398.22,4.58,45,Cl3
a761,85.56,489.22,2.24,83,Cl3
a762,85.06,690.59,3.15,88,Cl3
a763,67.13,331.21,0.78,60,Cl2
a764,62.32,762.55,2.54,76,Cl2
a765,79.15,300.52,2.33,63,Cl2
a766,86.58,272.11,0.93,59,Cl3
a767,59,286.95,1.14,76.83,Cl2
a768,87.97,569.76,5.34,86,Cl3
a769,152.39,366.69,1.75,58.18,Cl4
a770,61.59,693.97,1.03,100,Cl2
a771,55.71,416.02,1.04,77,Cl1
a772,75.29,328.66,1.19,73,Cl2
a773,57.94,289.18,13.58,96,Cl2
a774,51.83,187.47,1.31,57.82,Cl1
a775,74.55,339.12,4.81,64,Cl3
a776,70.57,234.59,1.42,31.51,Cl2
a777,81.37,393.83,0.83,76,Cl3
a778,100.98,34.12,1.29,31,Cl2
a779,74.77,429.3,1.09,66,Cl2
a780,48.02,100.07,0.25,20,Cl2
a781,44.16,507.02,0,68,Cl3
a782,75,105.18,0.35,51.63,Cl2
a783,50.51,249.66,0.02,70,Cl1
a784,23.08,108,0,30,Cl2
a785,38.19,63,0,26,Cl1
a786,31.88,92.02,0,25,Cl2
a787,47.93,732.04,0.21,47,Cl2
a788,31.55,73,0,25,Cl2
a789,35.39,127.54,0.02,47,Cl1
a790,72.71,397.86,2.26,27,Cl1
a791,37.35,535.43,0.11,46,Cl2
a792,41.16,936.76,0.18,30,Cl2
a793,70.13,152.13,3.15,71,Cl3
a794,95.8,207.78,1.98,50,Cl2
a795,45.38,711.63,0.24,55,Cl3
a796,49.57,334.13,1.68,50,Cl2
a797,33.86,286,0.03,30,Cl2
a798,31.15,312,0,18,Cl2
a799,38.86,585.16,3.17,45,Cl2
a800,26.73,437,0.67,70,Cl2
a801,95.53,598.11,3.2,63,Cl2
a802,41.07,135.17,0.57,23.35,Cl2
a803,41.56,1933.87,0.27,86,Cl3
a804,111.4,394.99,0.89,68,Cl2
a805,119.87,1154.41,1.62,90,Cl3
a806,83.39,638.55,1.56,85,Cl3
a807,42.59,566.03,0.22,57.27,Cl2
a808,42.18,374.12,0.09,50,Cl2
a809,40.79,701.24,0.32,75,Cl3
a810,36.49,128,6.46,55,Cl3
a811,49.25,182.68,0.34,19,Cl2
a812,32.81,6.21,0.04,24.36,Cl1
a813,28.43,1.09,0,6.38,Cl1
a814,63.58,26.74,0.49,18.04,Cl2
a815,29.72,248.76,0.66,55,Cl1
a816,30.09,102.06,0,15,Cl1
a817,39.3,0,0,6,Cl1
a818,17.08,135,0,15,Cl1
a819,32.98,384.92,0.95,55,Cl1
a820,27.93,153.01,0.82,70,Cl1
a821,64.65,223.16,0.93,65,Cl1
a822,58.19,379.19,6.07,58,Cl2
a823,71.68,354.89,1.45,81,Cl2
a824,93.01,56.18,1.71,27.47,Cl2
a825,62.5,108.56,4.68,40,Cl2
a826,42.62,17.67,0.33,30,Cl2
a827,96.33,284.02,0.83,55.68,Cl2
a828,51.5,0,0,15,Cl2
a829,42.42,252.1,0.06,35,Cl2
a830,47.28,288.79,0.18,73,Cl3
a831,111.68,253.86,1,60,Cl2
a832,51.56,201.32,0.2,53.05,Cl2
a833,75.48,59.14,0.05,50,Cl2
a834,36.43,146.59,0.04,45,Cl2
a835,43.11,569.11,0.38,45,Cl3
a836,81.09,330.54,3.81,71,Cl3
a837,85.63,448.79,1.18,27,Cl2
a838,58.69,386.34,0.84,80,Cl2
a839,44.84,786.22,0.08,56,Cl2
a840,65.98,639.22,1.35,78,Cl3
a841,70.58,139.46,0.46,60,Cl2
a842,77.94,420.49,2.68,82,Cl2
a843,45.73,279.73,1.01,17,Cl2
a844,47.75,357.4,0.32,20,Cl1
a845,87.7,174.59,3.44,43.47,Cl2
a846,37.93,438.48,0.2,42,Cl2
a847,82.1,300.73,1.08,57,Cl2
a848,77.15,430.19,1.89,84,Cl2
a849,42.81,714.98,0.02,28,Cl2
a850,26.04,140,0,50,Cl2
a851,47.26,227.08,0.05,26,Cl3
a852,41.02,92.39,9.9,72,Cl2
a853,45.42,52.78,0.12,55,Cl2
a854,99.1,228.41,9.2,66.29,Cl3
a855,44.64,85.79,3.73,70.03,Cl2
a856,77.19,83.2,13.65,87,Cl3
a857,99.59,171.6,27.9,67.9,Cl3
a858,58.11,21.4,2.53,43,Cl3
a859,77.69,146.07,4.76,93,Cl3
a860,100.34,73.76,1.73,75,Cl2
a861,52.86,573.24,3.33,100,Cl4
a862,91.21,927.29,3.23,68,Cl2
a863,121.85,1156.73,5.5,100,Cl3
a864,29.62,554.72,0.19,48.18,Cl2
a865,49.47,475.84,1.67,92.84,Cl3
a866,124.63,1722,5.2,100,Cl4
a867,48.98,375.18,1.66,59,Cl2
a868,82.02,394.09,1.48,65,Cl3
a869,42.65,1489.1,1.54,85,Cl3
a870,36.5,571.72,0.58,51,Cl2
a871,97.71,1148.46,2.25,100,Cl4
a872,72.29,565,3.06,100,Cl4
a873,50.88,1108.79,0.55,80,Cl3
a874,43.14,1028.86,1.12,81,Cl3
a875,42.67,399.85,0.3,83,Cl3
a876,43.17,378.62,0.71,45,Cl2
a877,48.26,1104.75,0.71,89,Cl3
a878,47.4,1005.13,0.49,38,Cl3
a879,97.89,536.94,2.52,96,Cl4
a880,44.86,369.64,1.09,74,Cl2
a881,50.24,534.33,0.49,65,Cl3
a882,109.32,703.61,7.2,93,Cl3
a883,121.6,609.63,4.53,90,Cl3
a884,25.14,1632.2,0.21,75,Cl1
a885,110.8,662.5,1.41,80,Cl3
a886,85.87,741.16,1.65,85,Cl3
a887,98.59,570.1,1.04,66,Cl2
a888,42.72,811.49,1.16,67.46,Cl2
a889,73.4,505.59,2.55,80,Cl3
a890,37.82,1249.07,0.32,64,Cl2
a891,47.07,941.63,0.38,70,Cl3
a892,28.27,128,0,52,Cl2
a893,43.44,257,1.13,70,Cl2
a894,43.01,81.34,0,15,Cl2
a895,115.54,282.32,1.14,70,Cl3
a896,39.97,564.76,0.09,73,Cl2
a897,65.65,345.43,2.34,76,Cl2
a898,58.47,29.44,0.15,40,Cl2
a899,85.2,186.63,0.61,85,Cl2
a900,61.34,114,0.21,67,Cl2
a901,79.64,103.22,0.19,15,Cl2
a902,36.95,172.39,0,31,Cl1
a903,36.47,87.33,0,20,Cl2
a904,27.58,14,4.17,33,Cl1
a905,74.31,2222.9,0.97,37,Cl3
a906,71.1,739.18,0.35,73,Cl2
a907,81.18,675.11,1.14,63,Cl3
a908,75.63,362.4,0.14,95,Cl3
a909,68.13,658.51,0.56,61,Cl2
a910,77.24,678,13.32,48,Cl3
a911,34.2,176.73,1.96,37.64,Cl2
a912,48.59,492.97,4.34,31,Cl2
a913,45.39,191.96,1.99,72,Cl2
a914,37.84,159.86,0.37,53,Cl2
a915,77.89,594.66,8.74,53,Cl3
a916,41.72,496.74,9.82,70,Cl2
a917,110.24,341.85,6.28,65.14,Cl3
a918,17.54,234.57,17.78,64,Cl2
a919,57.77,259.72,6.62,36,Cl2
a920,17.8,344.22,7.66,56,Cl2
a921,52.78,200.51,13.53,41.7,Cl3
a922,89.8,830.38,8.64,62,Cl3
a923,15.3,161,0.7,65,Cl2
a924,27.53,278.76,34.03,60,Cl3
a925,17.81,215.48,36.26,56,Cl2
a926,48,0,0,22,Cl1
a927,46.38,121.13,1.63,46.67,Cl2
a928,27.68,42.73,0.01,30,Cl1
a929,27.4,35.59,0.06,20,Cl1
a930,19.12,23,0,10,Cl1
a931,26.34,77,0.04,17,Cl1
a932,32.87,95.41,0.05,21,Cl1
a933,21.27,0,0,0,Cl1
a934,20.21,28.42,2.19,15,Cl1
a935,42.61,173.98,0,10,Cl2
a936,18.11,13.29,0,0,Cl1
a937,36.53,5.88,0,0,Cl1
a938,18.35,19,0.19,5,Cl1
a939,32.43,15.54,0,17,Cl1
a940,26.23,37.51,1.5,17,Cl1
a941,30.08,125.12,24,44,Cl1
a942,26.97,15.73,0,18.08,Cl1
a943,36.97,59.12,0.76,66,Cl2
a944,17.48,11.77,0,11.22,Cl1
a945,24.6,9.87,0.04,5,Cl1
a946,28.18,2,0,5,Cl1
a947,46.5,0,0,0,Cl2
a948,29.56,23,0,13,Cl1
a949,33.41,9,0,5,Cl2
a950,63.74,34.92,3.39,50,Cl3
a951,53.89,37.51,1.04,10,Cl2
a952,31.63,26.2,0,26,Cl1
a953,20.13,0.43,0,8.94,Cl1
a954,28.43,19,0,15,Cl1
a955,31.32,41,0,15,Cl2
a956,26.73,47,0,5,Cl1
a957,55.36,126.77,1.03,48,Cl2
a958,70.13,32.43,4.45,42,Cl2
a959,72.32,37.98,0.43,29,Cl2
a960,63.16,20,0,37,Cl2
a961,23.19,4.92,0,6.15,Cl1
a962,28.92,53.45,1.28,5,Cl1
a963,23.71,8.21,0.13,20,Cl1
a964,41.47,75.91,1.65,19,Cl2
a965,50.59,49.48,0,24,Cl2
a966,38.81,90.99,0.05,35,Cl1
a967,34.6,50.19,0,24,Cl1
a968,46.91,34,0.03,20,Cl2
a969,29.13,8,0,12,Cl1
a970,44.5,32.33,0,34,Cl2
a971,32.91,68.89,1.52,0,Cl2
a972,37.57,302.27,5.77,54,Cl2
a973,23.29,120.95,0.04,15,Cl1
a974,35.92,8,2.45,50,Cl1
a975,0,0.2,0,17,Cl1
a976,16,20,0,3,Cl1
a977,0,0,0,0,Cl1
a978,10.27,3.39,0.45,13.09,Cl1
a979,22.77,0,0,0,Cl1
a980,22.43,4.69,0,5,Cl1
a981,42.44,9,0,0,Cl2
a982,18.61,2,1.98,17,Cl1
a983,67.9,17.58,0.18,27,Cl2
a984,70.44,276.51,0.76,70,Cl2
a985,35.85,312.74,0.61,70,Cl1
a986,43.56,89.79,0.06,27,Cl2
a987,60.85,367.16,1.47,71,Cl2
a988,55.66,274.4,0.38,65,Cl2
a989,70.84,560.53,2.24,78,Cl2
a990,48.02,512.78,0.73,45,Cl1
a991,50.8,506.43,2.16,74,Cl1
a992,56.81,86.73,0.55,50,Cl2
a993,55.7,123.18,0.3,4,Cl3
