Alternative,Subset,g1,g2,g3,g4,Class
a202,NJN,104.1,477.44,11.22,96.75,Cl4
a203,SI,125.23,951,6.79,100,Cl4
a204,SI,89.41,602.1,12.49,72,Cl3
a205,SI,118.88,547.58,5.17,75,Cl3
a206,SI,34.93,215.1,10.79,90,Cl2
a207,SI,60.47,453.26,19.62,96,Cl3
a208,NZ,97.8,238.19,10.6,69,Cl3
a209,NJN,34.28,66.08,7.4,46.1,Cl2
a210,HS,52.58,456.58,8.73,35,Cl3
a211,SI,31.23,375.66,4.18,53,Cl1
a212,SI,14.03,521.2,15.25,85,Cl2
a213,NJN,44.86,15.83,1.43,33.75,Cl2
a214,NZ,28.48,463.84,5.9,70,Cl1
a215,NZ,99.43,750.42,5.79,60,Cl3
a216,NJN,55.05,408.74,2.73,91.55,Cl4
a217,NZ,95.6,174.72,32.48,85,Cl3
a218,NZ,65.5,142.79,0.89,65,Cl1
a219,NJN,102.82,94.37,1.29,38.71,Cl3
a220,SI,116.94,2651.87,6.59,100,Cl4
a221,SI,107.75,420.62,1.26,70,Cl2
a222,SI,90.12,313.15,5.59,86,Cl3
a223,SI,110.33,1135,4.54,90,Cl3
a224,NZ,90.91,479.04,8.33,40,Cl2
a225,NZ,87.77,446.47,4.18,85,Cl3
a226,NZ,88.34,400.87,4.29,65,Cl3
a227,NJN,43.98,64.65,5.4,39.69,Cl2
a228,NZ,95.02,451.37,10.44,95,Cl4
a229,NZ,61.95,294.77,1.3,81,Cl2
a230,SI,23.37,30,9.55,60,Cl2
a231,SI,64.32,358.62,20.65,81,Cl3
a232,NZ,75.1,295.54,0.19,73,Cl2
a233,NZ,93.89,413.85,6.81,71,Cl3
a234,HS,46,471.95,0.28,74,Cl3
a235,HS,44.66,271.28,0.6,43,Cl2
a236,NZ,45.09,414.53,2.75,55,Cl2
a237,NZ,86.74,689.19,4.9,50,Cl2
a238,SI,87.74,143.02,6.23,72,Cl3
a239,SI,71.4,81.91,1.43,55,Cl2
a240,SI,64.1,226.54,4.67,64,Cl2
a241,HS,44.58,305.47,1.68,75,Cl3
a242,NZ,103.37,478.91,9.02,87,Cl4
a243,SI,114.38,663.52,4.79,95,Cl3
a244,SI,14.83,164.78,17.39,70,Cl2
a245,HS,52.16,39.85,1.8,63,Cl2
a246,SI,21.16,338.71,29.78,77,Cl2
a247,SI,5.35,733,2.61,80,Cl1
a248,SI,43.25,436.11,8.1,65,Cl2
a249,SI,44.33,48.96,8.26,48,Cl2
a250,SI,82.24,854,17.31,98,Cl3
a251,SI,107.81,794.85,2.69,100,Cl4
a252,NZ,83.35,847.68,21.28,72,Cl3
a253,SI,58.58,153.03,10.2,50,Cl2
a254,SI,32.41,157.19,20.38,60,Cl2
a255,SI,17.98,252.52,8.18,60,Cl2
a256,NZ,91.3,887.04,5.43,60,Cl3
a257,NZ,69.79,82.92,1.68,42,Cl2
a258,NZ,76.25,680.35,4.18,71,Cl2
a259,NZ,93.85,282.13,3.98,50,Cl3
a260,SI,46.04,584,21.31,90,Cl3
a261,SI,115.45,574.68,8.04,78,Cl3
a262,SI,46.58,225.3,14.55,70,Cl2
a263,NJN,57.78,166.12,83.5,74.97,Cl3
a264,NZ,23.9,165.61,23.23,75,Cl1
a265,SI,28.34,558.35,23.82,77,Cl3
a266,SI,74.88,35.76,19.21,55,Cl3
a267,HS,50.12,245.85,0.38,30,Cl2
a268,NZ,93.22,380,5.42,62,Cl3
a269,HS,44.27,402.06,0.6,75,Cl3
a270,SI,115.28,617.1,3.13,70,Cl3
a271,SI,33.75,214.47,36.44,90,Cl3
a272,SI,47.37,184.13,16.51,69,Cl3
a273,NZ,97.8,766.2,6.62,84,Cl4
a274,NZ,111.7,265.2,14.41,30,Cl3
a275,NJN,52,237.27,2.04,27.83,Cl1
a276,NJN,52.52,59.26,37.36,48.45,Cl3
a277,SI,77.06,253.82,15.49,70,Cl3
a278,NZ,59.15,477.93,6.31,77,Cl3
a279,NJN,62.82,24.17,6.24,32.24,Cl1
a280,HS,14.91,0,0,5,Cl1
a281,NZ,124.87,258.05,3.03,25,Cl3
